timestamp_ms,instantaneous_rps
0.00,0.0
0.25,37446.2
0.50,36752.0
0.75,38464.0
1.00,37704.0
1.25,38216.0
1.50,33048.0
1.75,36644.0
2.00,38240.0
2.25,35296.0
2.50,37187.3
2.75,38180.0
3.00,38512.0
3.25,38212.0
3.50,38292.0
3.75,38290.8
4.00,38648.0
4.25,38804.0
4.50,38784.0
4.75,38776.0
5.00,38840.0
5.25,39084.0
5.50,38292.0
5.75,38808.0
6.00,38988.0
6.25,38740.0
6.50,33988.0
6.75,37597.6
7.00,38788.0
7.25,38788.0
7.50,38252.0
7.75,38284.0
8.01,39044.0
8.26,39524.0
8.51,39504.0
8.76,38888.0
9.01,39310.8
9.26,38916.0
9.51,39124.0
9.76,39584.0
10.01,39348.0
10.26,39348.0
10.51,39620.0
10.76,40436.0
11.01,39968.0
11.26,39892.4
11.51,39032.0
11.76,40392.0
12.01,40396.0
12.26,39792.0
12.51,39036.0
12.76,39701.2
13.01,40596.0
13.26,40268.0
13.51,40640.0
13.76,40204.0
14.01,40156.0
14.26,40220.0
14.51,40456.0
14.76,39948.0
15.01,40596.0
15.26,40717.1
15.51,40420.0
15.76,40136.0
16.01,41092.0
16.26,41151.4
16.51,38500.0
16.76,35368.0
17.01,42200.0
17.26,41756.0
17.51,40876.0
17.76,41824.0
18.01,41960.0
18.26,40748.0
18.51,40757.0
18.76,40964.0
19.01,41524.0
19.26,41544.0
19.51,41616.0
19.76,41608.0
20.01,41251.0
20.26,40296.0
20.51,41553.8
20.76,41628.0
21.01,42248.0
21.26,42564.0
21.51,34532.0
21.76,42544.0
22.01,42816.0
22.26,42612.0
22.51,41482.1
22.76,42136.0
23.01,42748.0
23.26,42228.0
23.51,42920.0
23.76,41692.0
24.02,42804.8
24.27,42020.0
24.52,43164.0
24.77,43188.0
25.02,42640.0
25.27,41860.0
25.52,43388.0
25.77,43184.0
26.02,43340.0
26.27,43136.0
26.52,49745.0
26.77,51036.0
27.02,51244.0
27.27,52940.0
27.52,44464.0
27.77,52812.0
28.02,52924.0
28.27,53636.0
28.52,52488.0
28.77,53372.0
29.02,51324.0
29.27,53488.0
29.52,53808.8
29.77,53576.0
30.02,53912.0
30.27,53932.0
30.52,54460.0
30.77,54228.0
31.02,52932.0
31.27,54780.0
31.52,54625.5
31.77,54684.0
32.02,54744.0
32.27,54956.0
32.52,45164.0
32.77,43868.0
33.02,45976.0
33.27,45708.0
33.52,44480.0
33.77,45565.7
34.02,44992.0
34.27,45936.0
34.52,45908.0
34.77,45780.0
35.02,46176.0
35.27,45876.0
35.52,46028.0
35.77,45944.2
36.02,46208.0
36.27,46508.0
36.52,44196.0
36.77,46588.0
37.02,46044.0
37.27,46212.0
37.52,44652.0
37.77,46565.7
38.02,43972.0
38.27,45296.0
38.52,46932.0
38.77,47160.0
39.02,45444.0
39.27,47332.0
39.52,47466.1
39.77,46092.0
40.02,45568.0
40.27,47072.0
40.52,46244.0
40.77,46900.0
41.02,47472.0
41.27,47216.0
41.52,46860.0
41.77,46432.0
42.02,45448.0
42.27,46084.0
42.52,45972.1
42.77,47228.0
43.02,47664.0
43.27,46596.0
43.52,45884.0
43.77,47500.0
44.02,40528.0
44.27,47576.0
44.52,47684.0
44.77,43876.0
45.02,41456.0
45.27,45284.0
45.52,45701.2
45.77,44588.0
46.02,46368.0
46.27,46476.0
46.52,44988.0
46.77,46076.0
47.02,45191.2
47.27,45116.0
47.52,41832.0
47.77,46592.0
48.02,46500.0
48.28,45717.1
48.53,44416.0
48.78,46544.0
49.03,46804.0
49.28,46520.0
49.53,47104.0
49.78,47532.0
50.03,47131.5
50.28,46928.0
50.53,47716.0
50.78,47264.0
51.03,46712.0
51.28,46100.0
51.53,47784.0
51.78,47709.2
52.03,45800.0
52.28,47416.0
52.53,47160.0
52.78,47852.0
53.03,47984.0
53.28,46976.0
53.53,48228.0
53.78,47852.6
54.03,47784.0
54.28,48108.0
54.53,48472.0
54.78,48556.0
55.03,46908.0
55.28,48736.0
55.53,49080.0
55.78,48624.0
56.03,48364.0
56.28,48744.0
56.53,47952.2
56.78,47304.0
57.03,49172.0
57.28,47656.0
57.53,47776.0
57.78,46868.0
58.03,48952.0
58.28,51024.0
58.53,50960.0
58.78,47644.0
59.03,50964.1
59.28,50828.0
59.53,51044.0
59.78,51368.0
60.03,48844.0
60.28,50440.0
60.53,51060.0
60.78,50740.0
61.03,51380.0
61.28,51288.0
61.53,51316.0
61.78,47300.0
62.03,51052.0
62.28,49472.0
62.53,49601.6
62.78,51372.0
63.03,51388.0
63.28,51424.0
63.53,42484.0
63.78,50168.0
64.03,49860.6
64.28,50740.0
64.53,51356.0
64.78,51020.0
65.03,49636.0
65.28,49139.4
65.53,49416.0
65.78,50424.0
66.03,51136.0
66.28,49784.0
66.53,48504.0
66.78,50728.0
67.03,47318.7
67.28,48068.0
67.53,51588.0
67.78,49704.0
68.03,50472.0
68.28,50720.0
68.53,50732.0
68.78,50184.0
69.03,48412.0
69.29,48932.3
69.54,51760.0
69.79,48212.0
70.04,50620.0
70.29,51064.0
70.54,52256.0
70.79,47644.0
71.04,49936.0
71.29,49436.0
71.54,51296.0
71.79,52764.9
72.04,52812.0
72.29,50780.0
72.54,50816.0
72.79,52400.0
73.04,52348.0
73.29,50752.0
73.54,52520.0
73.79,52724.0
74.04,51286.9
74.29,53152.0
74.54,52328.0
74.79,53164.0
75.04,53096.0
75.29,49732.0
75.54,51008.0
75.79,53035.9
76.04,53008.0
76.29,52736.0
76.54,48452.0
76.79,51720.0
77.04,53088.0
77.29,52772.0
77.54,53048.0
77.79,53060.0
78.04,51904.4
78.29,52464.0
78.54,54088.0
78.79,53280.0
79.04,53988.0
79.29,53500.0
79.54,54208.0
79.79,50513.9
80.04,52768.0
80.29,54128.0
80.54,52200.0
80.79,52072.0
81.04,53376.0
81.29,54908.0
81.54,53272.0
81.79,52936.0
82.04,55224.0
82.29,52700.0
82.54,54398.4
82.79,52884.0
83.04,52908.0
83.29,54752.0
83.54,50392.0
83.79,53392.0
84.04,54140.0
84.29,53636.0
84.54,55036.0
84.79,54296.0
85.04,51438.2
85.29,53492.0
85.54,66692.0
85.79,74200.0
86.04,76348.0
86.29,71908.0
86.54,67244.0
86.79,12342.6
87.04,0.0
87.30,0.0
87.55,0.0
87.80,18156.0
88.05,20290.8
88.30,21156.0
88.55,22187.3
88.80,22748.0
89.05,23100.0
89.30,24056.0
89.55,26456.0
89.80,27368.0
90.05,27860.0
90.30,27669.3
90.55,28200.0
90.80,26464.0
91.05,26844.0
91.30,27168.0
91.55,27294.8
91.80,27665.3
92.05,27448.0
92.30,27904.0
92.55,28092.0
92.80,28124.0
93.05,28048.0
93.30,28776.0
93.55,28696.0
93.80,29334.7
94.05,31184.0
94.30,28952.0
94.55,29171.3
94.80,29268.0
95.05,29304.0
95.30,29296.0
95.55,29215.1
95.80,29264.0
96.05,29314.7
96.30,29484.0
96.55,29532.0
96.80,29432.0
97.05,29044.0
97.31,30008.0
97.56,30100.0
97.81,30452.0
98.06,29520.0
98.31,30088.0
98.56,30064.0
98.81,30000.0
99.06,30812.0
99.31,33624.0
99.56,33600.0
99.81,33752.0
100.06,33560.0
100.31,31092.0
100.56,30466.1
100.81,30576.0
101.06,30684.0
101.31,31540.0
101.56,33904.4
101.81,34276.0
102.06,33560.0
102.31,34368.0
102.56,34236.0
102.81,34172.0
103.06,33852.6
103.31,33116.0
103.56,31464.0
103.81,31084.0
104.06,31388.0
104.31,31692.0
104.56,31434.3
104.81,31380.0
105.06,31524.0
105.31,31796.0
105.56,31660.0
105.81,31736.0
106.06,31601.6
106.31,31676.0
106.56,32308.0
106.81,31848.6
107.06,31392.0
107.31,32068.0
107.56,32028.0
107.81,31772.9
108.06,31104.0
108.31,31892.0
108.56,31720.0
108.81,31880.0
109.06,31864.5
109.31,32412.0
109.56,32308.0
109.81,32528.0
110.06,32553.8
110.31,32592.0
110.56,32404.0
110.82,32095.6
111.07,32512.0
111.32,32764.0
111.57,32960.0
111.82,32896.0
112.07,34992.0
